[[43.634436, -79.39607], 1]
[[43.634441, -79.372987], 1]
[[43.634522, -79.395689], 1]
[[43.634591, -79.367458], 1]
[[43.634636, -79.395778], 1]
[[43.634941, -79.377495], 1]
[[43.6354, -79.396209], 1]
[[43.635508, -79.395039], 1]
[[43.635827, -79.384639], 1]
[[43.636047, -79.374939], 1]
[[43.636088, -79.363809], 1]
[[43.636097, -79.364389], 1]
[[43.636136, -79.367723], 1]
[[43.636155, -79.380806], 1]
[[43.636169, -79.367234], 1]
[[43.636197, -79.367059], 1]
[[43.636211, -79.382728], 1]
[[43.6363, -79.38807], 1]
[[43.636319, -79.37362], 1]
[[43.636452, -79.386734], 1]
[[43.636463, -79.364259], 1]
[[43.636538, -79.386917], 1]
[[43.636586, -79.384134], 1]
[[43.636658, -79.382239], 1]
[[43.636666, -79.37137], 1]
[[43.637133, -79.373689], 1]
[[43.63735, -79.396545], 1]
[[43.637363, -79.392187], 1]
[[43.637372, -79.38612], 1]
[[43.637477, -79.3917], 1]
[[43.63768, -79.391931], 1]
[[43.637775, -79.372766], 1]
[[43.637902, -79.373706], 1]
[[43.637908, -79.381553], 1]
[[43.63791, -79.384539], 1]
[[43.637947, -79.382553], 1]
[[43.638011, -79.388439], 1]
[[43.638036, -79.383889], 1]
[[43.63805, -79.381541], 1]
[[43.638058, -79.38167], 1]
[[43.638058, -79.381134], 1]
[[43.638072, -79.379703], 1]
[[43.638108, -79.381098], 1]
[[43.638117, -79.389117], 1]
[[43.638149, -79.381548], 1]
[[43.638193, -79.373223], 1]
[[43.638213, -79.37462], 1]
[[43.638216, -79.380304], 1]
[[43.638218, -79.381531], 1]
[[43.638225, -79.384017], 1]
[[43.638272, -79.395492], 1]
[[43.638313, -79.384445], 1]
[[43.638319, -79.382063], 1]
[[43.638338, -79.386087], 1]
[[43.638352, -79.384309], 1]
[[43.638363, -79.383964], 1]
[[43.638386, -79.379963], 1]
[[43.638404, -79.378833], 1]
[[43.638405, -79.378828], 1]
[[43.638408, -79.383234], 1]
[[43.638419, -79.384148], 1]
[[43.638419, -79.383698], 1]
[[43.638425, -79.381248], 1]
[[43.638447, -79.384414], 1]
[[43.638466, -79.378556], 1]
[[43.638472, -79.383828], 1]
[[43.638508, -79.384209], 1]
[[43.638513, -79.383801], 1]
[[43.638516, -79.392626], 1]
[[43.638518, -79.378709], 1]
[[43.638536, -79.384287], 1]
[[43.638541, -79.38417], 1]
[[43.638544, -79.394017], 1]
[[43.6386, -79.379112], 1]
[[43.638608, -79.379498], 1]
[[43.638622, -79.388817], 1]
[[43.638644, -79.384425], 1]
[[43.638669, -79.383695], 1]
[[43.638678, -79.3775], 1]
[[43.638683, -79.395906], 1]
[[43.638694, -79.383881], 1]
[[43.638715, -79.383301], 1]
[[43.638727, -79.384228], 1]
[[43.638734, -79.378347], 1]
[[43.638738, -79.383925], 1]
[[43.638761, -79.38299], 1]
[[43.638805, -79.384881], 1]
[[43.638811, -79.381062], 1]
[[43.638813, -79.384064], 1]
[[43.6389, -79.384126], 1]
[[43.638947, -79.383501], 1]
[[43.638958, -79.384262], 1]
[[43.639008, -79.381334], 1]
[[43.639013, -79.384392], 1]
[[43.639056, -79.384642], 1]
[[43.639075, -79.382519], 1]
[[43.6391, -79.384048], 1]
[[43.639113, -79.383798], 1]
[[43.639133, -79.38327], 1]
[[43.639183, -79.382059], 1]
[[43.639186, -79.387048], 1]
[[43.639197, -79.382184], 1]
[[43.639211, -79.382231], 1]
[[43.639263, -79.376489], 1]
[[43.639266, -79.382545], 1]
[[43.639272, -79.376512], 1]
[[43.639275, -79.376512], 1]
[[43.639277, -79.3765], 1]
[[43.63928, -79.376517], 1]
[[43.63928, -79.376503], 1]
[[43.639288, -79.376456], 1]
[[43.6393, -79.376523], 1]
[[43.639305, -79.379374], 1]
